id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Compound Score
19694550,Comfy quiet clean with  bathroom-right in downtown,132981106,Elena,Regent Park,43.65808,-79.36419,Private room,49,1,63.5,2.47,1,44,7.5,0.728870556
19695005,2 bedroom home to call your own!,138741162,Danielle,Danforth,43.6843,-79.32003,Entire home/apt,120,28,4,0.07,1,0,0,0.76975
19695699,Corner Loft on top of Parkdale Brewery,27923671,Kevin,Roncesvalles,43.64232,-79.43328,Entire home/apt,144,28,5,0.09,1,0,0,0.6562
19698563,Downtown Toronto 48th floor city and lake view.,138777818,Balrajh,Waterfront Communities-The Island,43.64239,-79.38261,Entire home/apt,138,1,63.5,2.47,1,96,7.5,0.732331373
19701022,Sunny & Central Apartment- Close to Downtown,136724699,Joanna,Oakwood Village,43.68321,-79.43008,Entire home/apt,86,29,49,0.87,3,100,4,0.827211628
19702609,gem,91393757,Sandy,Bay Street Corridor,43.65702,-79.38399,Entire home/apt,185,28,41,0.73,1,365,0,0.806563415
19706966,Lathasa Vacation house,41511076,Padmapriya,Centennial Scarborough,43.77738,-79.15184,Entire home/apt,319,28,2,0.04,2,364,0,0.95405
19711324,Central Modern Beauty!,11867271,Dena,Banbury-Don Mills,43.7379,-79.33824,Private room,90,28,2,0.04,3,89,0,0.84405
19712089,"Beautiful, spacious, clean house in Riverdale.",138909019,John,North Riverdale,43.6767,-79.34549,Entire home/apt,319,4,14,0.25,1,26,0,0.939185714
19713268,City Jewel in Cosmo Toronto Centre @ CN Tower,12535667,Lennie,Waterfront Communities-The Island,43.64442,-79.38998,Entire home/apt,203,28,13,0.23,3,126,3,0.882130769
19715503,Elegant Downtown Oasis with City and Lake Views Plus Parking,15817192,Luke,Niagara,43.63648,-79.40453,Entire home/apt,231,4,63.5,2.16,2,227,7.5,0.865923967
19716133,Convenience location to downtown 1,134165190,Ken,Yorkdale-Glen Park,43.72392,-79.44985,Private room,88,28,6,0.1,2,0,0,0.96028
19718509,Beautiful Condo in Heart of Toronto,6028578,Anthony,Waterfront Communities-The Island,43.64834,-79.39014,Private room,76,31,2,0.03,1,0,0,0.48295
19718705,Newly Furnished Condo w/ large balcony and PARKING,138973207,Brent,Waterfront Communities-The Island,43.6467,-79.39384,Entire home/apt,250,28,34,0.59,1,0,0,0.858233333
19720572,Bright Modern Apartment near Bluffers Park With Free Parking,137844042,Joanne,Cliffcrest,43.7311,-79.22846,Entire home/apt,75,28,63.5,2.39,1,94,1,0.893241406
19734987,Yonge Midtown,138365895,Farhan,Mount Pleasant West,43.70629,-79.3945,Entire home/apt,200,14,42,0.75,1,123,4,0.802097674
19737661,Zen Space,139177676,Sacha,Kennedy Park,43.72515,-79.264,Entire home/apt,155,28,50,0.88,3,1,4,0.818991667
